PuR Ilton#1432;671;WOR Noctis;79;PuR Rosberg;66;XRT Oxygen;51;PuR Thomas;82;GL Tharsi;62;PuR Ilton;57;NoN4me Cramer;89;aRAC Zer;75;Emeric;110
Vinboy#8739;671;RP1 Theo;69;PuR Rosberg;66;RP1 Varane;53;PuR Thomas;82;LOC WarF1;62;Vega Elsass;92;Istoozen Eko;68;RP1 Fifou;69;Emeric;110
BatXOne#8529;664;WOR Noctis;79;PuR Rosberg;66;RP1 Varane;53;PuR Voltha;59;Non4me Stuno;58;ERT Matfax;76;NoN4me Cramer;89;CRL Bikette;105;NoN4me Bappe;79
ERT Aurelius;663;ERT BatXone;69;XRT Arthur;52;MCR Jayrko;56;ERT Aurelius;79;Non4me Stuno;58;ERT Matfax;76;RP1 Ice;93;CRL Bikette;105;JNPJD;75
ERT Niloboo;661;WOR Noctis;79;LDL Oli;63;XRT Oxygen;51;ERT Aurelius;79;Non4me Stuno;58;ERT Matfax;76;NoN4me Cramer;89;CRL Bikette;105;KNF Fradj;61
ERT Matfax#0803;644;ERT BatXone;69;LDL Oli;63;MCR Jayrko;56;ERT Aurelius;79;RP1 Gachette;28;ERT Matfax;76;NoN4me Cramer;89;CRL Bikette;105;NoN4me Bappe;79
Raven_#1681;637;WOR Noctis;79;FRA Raaven;64;MCR Jayrko;56;PuR Thomas;82;PuRa Tomoe;70;PuR Ilton;57;FcT Tweekaz;50;RP1 Fifou;69;Emeric;110
RP1 Gachette#9691;636;WOR Noctis;79;PuR Rosberg;66;MCR Jayrko;56;PuR Voltha;59;GL Tharsi;62;PuR Ilton;57;RP1 Ice;93;Shadd;54;Emeric;110
Non4me Cami#7515;624;WOR Noctis;79;FRA Raaven;64;RP1 Varane;53;PuR Voltha;59;ECS Finesse;51;NoN4me Geckoz;96;NoN4me Cramer;89;Shadd;54;NoN4me Bappe;79
FcT Coco #6690;622;WOR Noctis;79;FRA Raaven;64;MCR Jayrko;56;PuR Thomas;82;PuRa Tomoe;70;FcT Coco;58;RP1 Ice;93;RP1 Fifou;69;MVT Fly;51
RP1 Ice;620;RP1 Theo;69;LDL Oli;63;MCR Path;46;PuR Thomas;82;GL Tharsi;62;NoN4me Geckoz;96;RP1 Ice;93;MVT Kaio;58;MVT Fly;51
RP1 Chadoo;614;WOR Noctis;79;LDL Oli;63;MCR Jayrko;56;PuR Thomas;82;Yozana;72;PuR Ilton;57;Istoozen Eko;68;MVT Kaio;58;NoN4me Bappe;79
RP1 Maldini#2971;613;WOR Noctis;79;LDL Oli;63;XRT Oxygen;51;PuR Thomas;82;Non4me Stuno;58;RP1 Skyzzz;69;Heroziah;41;CRL Bikette;105;Wissam;65
ERT Jet#0218;612;WOR Noctis;79;RP1 Adam;44;RP1 Varane;53;PuR Voltha;59;Non4me Stuno;58;ERT Matfax;76;FcT Specktre;77;CRL Bikette;105;KNF Fradj;61
ERT KaranoX#8559;609;WOR Noctis;79;LDL Oli;63;RP1 Varane;53;PuR Voltha;59;ECS Finesse;51;PuR Ilton;57;NoN4me Cramer;89;NoN4me Lucas;52;Djedjam;106
MiRaGE#6568;607;WOR Noctis;79;FRA Raaven;64;MCR Jayrko;56;PuR Voltha;59;Non4me Stuno;58;PuR Ilton;57;FcT Tweekaz;50;CRL Bikette;105;NoN4me Bappe;79
PuR Lowky#2789;604;WOR Noctis;79;FRA Raaven;64;XRT Oxygen;51;PuR Voltha;59;Yozana;72;PuR Ilton;57;Heroziah;41;aRAC Zer;75;Djedjam;106
PuR Vincent#5110;602;WOR Noctis;79;LDL Oli;63;RP1 Varane;53;PuR Voltha;59;PuRa Tomoe;70;PuR Ilton;57;Heroziah;41;PuRa Chime;70;Emeric;110
Ert redevils;602;WOR Noctis;79;RP1 Adam;44;MCR Jayrko;56;FcT LaSouche;50;ECS Finesse;51;NoN4me Geckoz;96;RP1 Ice;93;Shadd;54;NoN4me Bappe;79
Shadd#1684;601;WOR Noctis;79;RP1 Winterr;51;RP1 Varane;53;PuR Thomas;82;ECS Finesse;51;NoN4me Geckoz;96;NoN4me Jordy;56;Shadd;54;NoN4me Bappe;79
MCR JAYRKO#5703;599;WOR Noctis;79;PuR Rosberg;66;MCR Path;46;ERT Aurelius;79;Non4me Stuno;58;RP1 Skyzzz;69;Istoozen Eko;68;RP1 Fifou;69;Wissam;65
Leonh4rte#8727;594;RP1 Theo;69;FRA Raaven;64;MCR Jayrko;56;FcT LaSouche;50;PuRa Tomoe;70;RP1 Skyzzz;69;XRT Nico2a;46;CRL Bikette;105;Wissam;65
SsA PixKeaper#9050;593;WOR Noctis;79;FRA Raaven;64;RP1 Varane;53;PuR Vincent;101;PuRa Jager;28;NoN4me Geckoz;96;Heroziah;41;NoN4me Lucas;52;NoN4me Bappe;79
LDL ZePro#4597;589;WOR Noctis;79;RP1 Montoya;67;RP1 Varane;53;F1M AlexGT500;68;GL Tharsi;62;PuR Ilton;57;NoN4me Jordy;56;CRL Bikette;105;NXS Tiga;42
FcT LaSouche#9836;587;WOR Noctis;79;FRA Raaven;64;MCR Jayrko;56;PuR Thomas;82;ECS Finesse;51;FcT Coco;58;FcT Tweekaz;50;CRL Bikette;105;NXS Tiga;42
RP1 Adam #6474;584;WOR Noctis;79;PuR Rosberg;66;MCR Path;46;PuR Voltha;59;Non4me Stuno;58;RP1 Skyzzz;69;FcT Specktre;77;RP1 Fifou;69;KNF Fradj;61
PuR Rosberg#9765;584;WOR Noctis;79;PuR Rosberg;66;RP1 Varane;53;PuR Thomas;82;Mirage9150;51;PuR Ilton;57;NoN4me Cramer;89;PuRa Chime;70;LDL Shermy;37
LDL Shermy#1524;582;RP1 Theo;69;LDL Oli;63;MCR Jayrko;56;PuR Vincent;101;LOC WarF1;62;PuR Ilton;57;Istoozen Eko;68;RP1 Fifou;69;LDL Shermy;37
RP1 Theo;574;RP1 Theo;69;RP1 Winterr;51;RP1 Varane;53;FcT LaSouche;50;Yozana;72;RP1 Skyzzz;69;NoN4me Cramer;89;PuRa Chime;70;MVT Fly;51
RP1 Papash #1147;570;PuR Nygraal;109;FRA Raaven;64;MCR Path;46;iF1 Supr3me;46;Non4me Stuno;58;RP1 Skyzzz;69;Heroziah;41;MVT Kaio;58;NoN4me Bappe;79
F1M AlexGT500#2172;570;WOR Noctis;79;FRA Raaven;64;RP1 Varane;53;PuR Voltha;59;PuRa Tomoe;70;Vega Elsass;92;Heroziah;41;PuRa Chime;70;NXS Tiga;42
RP1 Caotik;569;WOR Noctis;79;PuR Rosberg;66;XRT Oxygen;51;PuR Voltha;59;Non4me Stuno;58;PuR Ilton;57;Istoozen Eko;68;PuRa Chime;70;KNF Fradj;61
