Pilote;Nombre;Q2;Q3;Poles;Best;Moyenne;Coequipier battu;Taux;Sprints;Top 8;Podiums;Victoires;Best;Moyenne;Coequipier battu;Taux;Nombre;Top 10;Podiums;Victoires;Best;Moyenne;Coequipier battu;Taux
WOR Noctis;8;8;7;3;1;3.25;7;0.88;2;2;2;0;2;2.5;1;0.5;8;7;5;4;1;5.12;5;0.62
RP1 Theo;11;9;9;0;2;7.36;3;0.27;2;2;0;0;4;4.0;0;0.0;11;8;3;1;1;7.09;2;0.18
RP1 Okwaru;2;2;2;0;3;3.0;1;0.5;0;0;0;0;0;0;0;0;2;2;1;0;2;6.0;1;0.5
PuR Rosberg;11;11;11;0;2;4.27;9;0.82;2;2;0;0;7;7.0;1;0.5;11;8;3;1;1;7.36;6;0.55
ERT BatXone;12;11;11;2;1;5.83;3;0.25;2;2;2;0;2;2.5;1;0.5;12;8;4;0;2;8.17;5;0.42
FRA Raaven;6;6;6;0;5;5.83;1;0.17;1;0;0;0;9;9.0;0;0.0;6;5;0;0;4;6.83;3;0.5
ERT Niloboo;6;6;6;0;3;5.67;6;1.0;1;1;0;0;5;5.0;1;1.0;6;4;2;0;3;8.83;4;0.67
RP1 Montoya;10;9;6;0;6;10.8;5;0.5;2;0;0;0;11;15.5;1;0.5;10;8;0;0;4;9.2;9;0.9
RP1 Winterr;6;6;3;0;6;9.67;5;0.83;2;1;0;0;8;10.5;1;0.5;6;3;0;0;8;11.33;4;0.67
LDL Saumon;10;10;7;0;5;9.3;4;0.4;1;1;0;0;8;8.0;1;1.0;10;8;2;0;3;7.5;3;0.3
RP1 Adam;11;11;5;0;7;10.73;9;0.82;2;0;0;0;11;15.5;1;0.5;11;4;0;0;8;12.82;5;0.45
PuR Lowky;12;12;9;1;1;7.0;10;0.83;2;2;0;0;5;5.5;2;1.0;12;5;1;1;1;12.58;4;0.33
RP1 Varane;12;9;2;0;5;12.92;8;0.67;2;0;0;0;12;13.5;1;0.5;12;1;0;0;5;14.83;3;0.25
RP1 Chadoo;2;2;0;0;12;13.0;0;0.0;1;0;0;0;10;10.0;0;0.0;2;0;0;0;15;16.5;0;0.0
XRT Arthur;12;8;2;0;8;14.17;2;0.17;2;0;0;0;12;13.0;1;0.5;12;6;0;0;6;11.25;7;0.58
XRT Oxygen;10;2;0;0;13;16.5;4;0.4;2;0;0;0;17;17.5;1;0.5;10;3;0;0;6;11.7;7;0.7
MCR Path;12;2;0;0;14;17.42;6;0.5;2;0;0;0;14;15.0;2;1.0;12;1;0;0;9;14.5;4;0.33
FcT Daigoro;5;3;0;0;13;16.0;0;0.0;1;0;0;0;13;13.0;0;0.0;5;2;0;0;6;12.2;2;0.4
MCR Jayrko;12;2;0;0;12;17.33;6;0.5;2;0;0;0;16;17.0;0;0.0;12;3;0;0;7;13.0;8;0.67
PuR Snika;4;0;0;0;16;18.0;1;0.25;1;0;0;0;19;19.0;0;0.0;4;0;0;0;11;12.5;2;0.5
PuR Nygraal;9;9;9;6;1;1.44;7;0.78;2;2;2;2;1;1.0;2;1.0;9;9;9;5;1;1.44;8;0.89
XRT Darkfly;2;1;1;0;9;13.0;0;0.0;1;0;0;0;15;15.0;0;0.0;2;0;0;0;15;15.5;1;0.5
PuR Voltha;1;1;0;0;13;13.0;0;0.0;0;0;0;0;0;0;0;0;1;0;0;0;13;13.0;0;0.0
PuR Thomas;8;8;8;0;2;5.88;6;0.75;1;1;0;0;6;6.0;1;1.0;8;5;2;0;2;9.25;5;0.62
LDL Oli;9;8;7;0;4;9.11;4;0.44;1;0;0;0;9;9.0;0;0.0;9;8;2;0;3;7.0;6;0.67
PuR Ripply;4;4;1;0;6;11.0;0;0.0;0;0;0;0;0;0;0;0;4;2;1;0;2;10.0;2;0.5
FcT LaSouche;1;1;0;0;14;14.0;1;1.0;0;0;0;0;0;0;0;0;1;0;0;0;17;17.0;0;0.0
TX3 Enzo;6;0;0;0;16;18.17;1;0.17;1;0;0;0;17;17.0;1;1.0;6;1;0;0;10;13.67;5;0.83
SHZ Piccolo;2;1;1;0;10;14.5;1;0.5;1;0;0;0;19;19.0;0;0.0;2;0;0;0;20;20.0;0;0.0
PuR Ilton;6;6;4;0;3;7.67;2;0.33;1;0;0;0;10;10.0;1;1.0;6;5;1;0;3;8.0;3;0.5
RP1 Maldini;4;4;0;0;11;12.75;2;0.5;0;0;0;0;0;0;0;0;4;1;0;0;9;13.5;1;0.25
IF1 Meister;2;1;0;0;13;15.5;0;0.0;0;0;0;0;0;0;0;0;2;0;0;0;12;15.5;0;0.0
PuR Vincent;2;1;0;0;13;14.5;1;0.5;0;0;0;0;0;0;0;0;2;1;0;0;7;12.5;1;0.5
RP1 Papash;1;1;1;0;6;6.0;1;1.0;0;0;0;0;0;0;0;0;1;1;0;0;6;6.0;1;1.0
RP1 Skyzz;1;1;1;0;10;10.0;1;1.0;0;0;0;0;0;0;0;0;1;0;0;0;16;16.0;0;0.0
F1M AlexGT500;2;2;1;0;7;11.0;1;0.5;0;0;0;0;0;0;0;0;2;0;0;0;14;15.5;1;0.5
PuR Vinboy;1;1;0;0;11;11.0;1;1.0;0;0;0;0;0;0;0;0;1;1;0;0;5;5.0;1;1.0
Non4me Geckoz;1;1;0;0;12;12.0;1;1.0;0;0;0;0;0;0;0;0;1;0;0;0;16;16.0;1;1.0
