Pilote;Nombre;Top 15;Top 10;Poles;Best;Moyenne;Coequipier battu;Taux;Sprints;Top 8;Podiums;Victoires;Best;Moyenne;Coequipier battu;Taux;Nombre;Top 10;Podiums;Victoires;Best;Moyenne;Coequipier battu;Taux
PuR Thomas;10;10;10;6;1;1.5;10;1.0;2;2;1;0;2;4.5;1;0.5;10;6;5;3;1;7.3;5;0.5
PuR Nygraal;2;2;2;0;2;2.0;2;1.0;1;1;1;1;1;1.0;1;1.0;2;2;2;1;1;1.5;2;1.0
PuR Ripply;11;10;9;0;3;7.45;10;0.91;2;1;0;0;4;7.5;2;1.0;11;7;3;0;2;8.82;7;0.64
PuR Racing;9;8;8;4;1;3.89;6;0.67;2;2;1;1;1;3.0;1;0.5;9;5;3;2;1;9.67;3;0.33
ERT Niloboo;8;8;8;0;4;5.38;4;0.5;2;2;1;0;3;3.5;2;1.0;8;7;3;1;1;5.12;6;0.75
RP1 Tribion;8;7;6;0;6;9.38;7;0.88;1;0;0;0;14;14.0;0;0.0;8;4;1;0;3;9.25;6;0.75
ERT Aurelius;1;1;1;0;9;9.0;0;0.0;0;0;0;0;0;0;0;0;1;1;0;0;10;10.0;1;1.0
FcT LaSouche;6;5;5;0;4;8.5;3;0.5;1;0;0;0;20;20.0;0;0.0;6;1;0;0;6;14.17;0;0.0
Yozana;9;8;5;0;5;10.56;4;0.44;2;1;0;0;6;10.0;1;0.5;9;6;0;0;4;8.67;5;0.56
FcT Deadpool;4;4;1;0;10;12.5;2;0.5;1;0;0;0;18;18.0;0;0.0;4;0;0;0;14;14.5;1;0.25
PuRa Tomoe;8;6;3;0;9;12.25;2;0.25;1;0;0;0;10;10.0;0;0.0;8;5;1;0;3;9.25;4;0.5
RP1 Gachette;11;5;0;0;12;16.45;2;0.18;2;0;0;0;17;18.0;0;0.0;11;3;0;0;5;14.91;3;0.27
MCR SpaceX;6;4;2;0;8;13.0;2;0.33;1;0;0;0;16;16.0;1;1.0;6;3;0;0;6;12.0;4;0.67
PuR Vincent;9;9;5;0;3;9.11;0;0.0;2;2;0;0;5;6.0;1;0.5;9;8;5;1;1;5.44;5;0.56
iF1 Supr3me;7;4;1;0;8;15.29;3;0.43;2;1;0;0;8;8.5;1;0.5;8;4;0;0;4;12.38;3;0.38
XRT Darkfly;11;7;3;0;7;12.55;9;0.82;1;0;0;0;17;17.0;1;1.0;11;5;0;0;5;12.82;7;0.64
RP1 Owain;1;0;0;0;17;17.0;1;1.0;0;0;0;0;0;0;0;0;1;0;0;0;17;17.0;1;1.0
Heroziah;6;2;0;0;13;16.83;1;0.17;1;0;0;0;20;20.0;0;0.0;6;0;0;0;14;17.83;1;0.17
ECS Finesse;8;4;1;0;10;14.88;4;0.5;2;0;0;0;13;13.0;1;0.5;8;3;0;0;8;13.75;2;0.25
Istoozen Eko;5;3;2;0;6;13.0;3;0.6;0;0;0;0;0;0;0;0;5;1;0;0;9;13.6;2;0.4
PuRa Jager;7;5;3;0;8;12.57;3;0.43;1;1;0;0;8;8.0;1;1.0;7;2;0;0;5;13.43;4;0.57
RP1 Woody;1;0;0;0;18;18.0;0;0.0;1;0;0;0;11;11.0;1;1.0;1;1;0;0;9;9.0;1;1.0
ERT Flyart;10;2;0;0;15;17.7;1;0.1;2;0;0;0;12;15.0;0;0.0;10;5;1;1;1;10.7;4;0.4
ASE Luisnts1;4;3;2;0;3;10.5;3;0.75;1;0;0;0;16;16.0;0;0.0;4;1;1;1;1;11.0;2;0.5
PuR Voltha;7;7;5;0;3;7.0;4;0.57;1;1;1;0;3;3.0;0;0.0;7;1;1;0;2;13.29;4;0.57
Non4me Cramer;2;2;2;0;4;7.0;1;0.5;0;0;0;0;0;0;0;0;2;1;1;0;3;9.5;1;0.5
F1M AlexGT500;4;4;2;0;5;8.75;0;0.0;0;0;0;0;0;0;0;0;4;2;2;0;3;8.75;3;0.75
Mirage9150;3;2;1;0;6;12.33;2;0.67;0;0;0;0;0;0;0;0;3;1;0;0;4;11.67;1;0.33
PuR Ilton;1;1;1;0;6;6.0;1;1.0;0;0;0;0;0;0;0;0;1;1;1;0;2;2.0;1;1.0
