Pilote;Nombre;Top 15;Top 10;Poles;Best;Moyenne;Coequipier battu;Taux;Sprints;Top 8;Podiums;Victoires;Best;Moyenne;Coequipier battu;Taux;Nombre;Abandons;Fiabilite;Top 10;Podiums;Victoires;Best;Moyenne;Coequipier battu;Taux;Moy. Positions Gagnees
NoN4me Cramer;11;11;11;3;1;2.55;10;0.91;1;1;1;0;2;2.0;1;1.0;11;0;1.0;9;5;1;1;5.0;8;0.73;-2.45
FcT Tweekaz;6;6;3;0;2;9.0;0;0.0;1;0;0;0;18;18.0;1;1.0;6;1;0.83;3;1;0;3;11.5;1;0.17;-0.83
NoN4me Jordy;11;8;5;0;3;11.91;8;0.73;2;0;0;0;15;15.5;0;0.0;11;1;0.91;5;0;0;6;11.73;4;0.36;0.91
RP1 Skyzzz;11;11;10;0;2;5.91;9;0.82;2;1;0;0;8;11.5;1;0.5;11;2;0.82;7;3;2;1;8.73;8;0.73;-1.45
ERT Matfax;11;11;10;0;2;5.82;2;0.18;2;1;0;0;5;12.5;0;0.0;11;1;0.91;10;5;2;1;5.18;4;0.36;1.09
NoN4me Geckoz;12;12;12;4;1;2.83;10;0.83;2;2;1;0;2;3.0;2;1.0;12;0;1.0;11;7;2;1;3.83;8;0.67;-1.0
RP1 Ice;12;11;9;0;3;9.0;9;0.75;2;1;0;0;6;9.5;1;0.5;12;0;1.0;10;2;0;2;7.17;9;0.75;1.58
NoN4me Cami;11;9;6;0;6;10.36;3;0.27;1;1;1;0;3;3.0;1;1.0;11;3;0.73;6;0;0;4;11.18;4;0.36;-1.09
PuRa Jager;7;6;3;0;9;12.43;4;0.57;2;1;0;0;7;13.0;1;0.5;7;3;0.57;2;0;0;8;14.0;5;0.71;-1.14
NoN4me Livai;9;9;6;0;6;9.89;3;0.33;2;0;0;0;10;10.5;0;0.0;9;3;0.67;3;0;0;6;11.78;2;0.22;-1.89
PuR Ultraaa;11;10;3;0;6;12.27;6;0.55;2;0;0;0;9;10.5;1;0.5;11;9;0.18;2;0;0;5;15.64;4;0.36;-3.55
FcT Coco;12;5;2;0;6;14.5;4;0.33;2;0;0;0;10;13.0;0;0.0;12;1;0.92;6;0;0;6;11.08;4;0.33;2.83
RP1 Durtom;5;1;0;0;13;17.6;0;0.0;1;0;0;0;11;11.0;0;0.0;5;1;0.8;1;0;0;9;12.2;0;0.0;4.0
STR Pagaa;9;7;3;0;10;13.22;5;0.56;2;1;0;0;8;14.0;1;0.5;9;3;0.67;5;0;0;5;11.33;6;0.67;2.33
ERT Karanox;12;9;5;1;1;11.42;9;0.75;2;1;0;0;7;10.0;2;1.0;12;3;0.75;6;1;1;1;10.58;6;0.5;-0.5
Istoozen Eko;5;4;2;0;7;11.2;2;0.4;0;0;0;0;0;0;0;0;5;2;0.6;2;0;0;5;13.2;1;0.2;-2.0
FcT Specktre;11;6;0;0;12;15.0;3;0.27;2;0;0;0;14;14.0;2;1.0;11;0;1.0;5;0;0;7;10.64;7;0.64;4.18
XRT Nico2a;9;1;0;0;12;17.0;2;0.22;2;0;0;0;17;17.5;0;0.0;9;3;0.67;2;0;0;9;14.33;4;0.44;2.44
MCR Papyx;1;0;0;0;19;19.0;0;0.0;0;0;0;0;0;0;0;0;1;0;1.0;0;0;0;14;14.0;1;1.0;5.0
Shadd;1;0;0;0;20;20.0;0;0.0;0;0;0;0;0;0;0;0;1;0;1.0;0;0;0;12;12.0;0;0.0;8.0
F1M AlexGT500;8;8;8;2;1;3.75;8;1.0;2;2;2;1;1;2.0;2;1.0;8;2;0.75;6;4;2;1;6.5;6;0.75;-3.0
NoN4me Stuno;2;2;2;0;2;4.5;1;0.5;1;0;0;0;19;19.0;0;0.0;2;2;0.0;0;0;0;16;17.5;1;0.5;-4.5
PuR Ilton;10;8;6;1;1;8.7;7;0.7;2;2;1;1;1;2.5;2;1.0;10;3;0.7;6;4;0;2;9.0;7;0.7;-0.4
XRT Marth;3;2;0;0;14;15.0;0;0.0;1;0;0;0;12;12.0;1;1.0;3;3;0.0;0;0;0;19;19.67;0;0.0;-5.33
WanBMT63;1;0;0;0;19;19.0;0;0.0;0;0;0;0;0;0;0;0;1;0;1.0;0;0;0;17;17.0;0;0.0;-10.0
Mirage9150;1;0;0;0;19;19.0;0;0.0;0;0;0;0;0;0;0;0;1;1;0.0;0;0;0;16;16.0;1;1.0;3.0
LDL Zepro;4;2;1;0;5;13.0;3;0.75;0;0;0;0;0;0;0;0;4;3;0.25;1;0;0;6;13.5;3;0.75;-0.5
F1XL Fanfan;2;0;0;0;18;18.0;0;0.0;0;0;0;0;0;0;0;0;2;0;1.0;0;0;0;11;14.0;1;0.5;4.0
Tonati2514;6;5;4;0;3;8.33;5;0.83;1;0;0;0;9;9.0;0;0.0;6;3;0.5;2;0;0;4;12.67;4;0.67;-6.17
XRT Alpha;1;0;0;0;17;17.0;0;0.0;0;0;0;0;0;0;0;0;1;0;1.0;0;0;0;18;18.0;0;0.0;-1.0
ERT Tiiste;2;0;0;0;16;17.5;0;0.0;0;0;0;0;0;0;0;0;2;1;0.5;0;0;0;12;14.0;0;0.0;3.5
NathanHrx;1;0;0;0;20;20.0;0;0.0;0;0;0;0;0;0;0;0;1;0;1.0;0;0;0;15;15.0;0;0.0;5.0
QSR LaJoya;1;1;1;0;6;6.0;1;1.0;1;1;0;0;5;5.0;1;1.0;1;0;1.0;1;1;1;1;1.0;1;1.0;4.0
Djedjam;3;3;3;1;1;5.0;1;0.33;1;1;0;0;6;6.0;0;0.0;3;0;1.0;3;1;1;1;5.0;1;0.33;-0.33
FcT Deadpool;2;0;0;0;17;18.0;0;0.0;1;0;0;0;17;17.0;0;0.0;2;2;0.0;0;0;0;13;15.5;0;0.0;1.5
PuRa Chime;1;1;1;0;9;9.0;0;0.0;0;0;0;0;0;0;0;0;1;0;1.0;0;0;0;11;11.0;1;1.0;-2.0
PuRa Matex;2;2;1;0;6;9.0;1;0.5;0;0;0;0;0;0;0;0;2;0;1.0;2;2;0;2;2.0;2;1.0;7.0
Heroziah;3;1;0;0;11;16.67;1;0.33;0;0;0;0;0;0;0;0;3;3;0.0;0;0;0;17;17.67;1;0.33;-1.0
Vega Elsass;3;3;0;0;12;13.67;1;0.33;0;0;0;0;0;0;0;0;3;1;0.67;0;0;0;11;14.33;2;0.67;-0.67
ERT Wartors;2;2;1;0;7;11.0;1;0.5;0;0;0;0;0;0;0;0;2;0;1.0;2;0;0;4;5.5;1;0.5;5.5
MCR Raikko;2;2;2;0;4;6.0;0;0.0;0;0;0;0;0;0;0;0;2;0;1.0;1;0;0;5;10.0;1;0.5;-4.0
aRAC Zer;1;1;0;0;12;12.0;1;1.0;0;0;0;0;0;0;0;0;1;0;1.0;1;0;0;5;5.0;1;1.0;7.0
